season,realisation,held_out_blocks,protocol,model,train_n,test_n,overall_accuracy,class_balanced_accuracy,kappa,reference_Veg.,reference_Water,reference_Built,reference_Open,reference_Agri.
summer,6,6|7|8,spatially_blocked,cart,3467,1533,0.7501630789302022,0.7536770998774253,0.6672864138793153,662,338,162,294,77
summer,6,6|7|8,spatially_blocked,gtb,3467,1533,0.868232224396608,0.8630642208323339,0.820895677773472,662,338,162,294,77
summer,6,6|7|8,spatially_blocked,knn,3467,1533,0.8688845401174168,0.850332786861012,0.8208094636897433,662,338,162,294,77
summer,6,6|7|8,spatially_blocked,rf,3467,1533,0.87279843444227,0.8670368641097811,0.8268689477829773,662,338,162,294,77
summer,6,6|7|8,spatially_blocked,svm,3467,1533,0.8910632746249184,0.8802713431532749,0.8508308249516677,662,338,162,294,77
summer,7,7|8|9,random,cart,4329,584,0.8184931506849316,0.8148028714305233,0.7723330856987342,127,110,130,114,103
summer,7,7|8|9,random,gtb,4329,584,0.9143835616438356,0.9130797520101412,0.8928715559305866,127,110,130,114,103
summer,7,7|8|9,random,knn,4329,584,0.8921232876712328,0.8882232884126349,0.864841135434384,127,110,130,114,103
summer,7,7|8|9,random,rf,4329,584,0.8972602739726028,0.8950594959929511,0.8713930220437646,127,110,130,114,103
summer,7,7|8|9,random,svm,4329,584,0.8921232876712328,0.8900071279963369,0.8649532555911598,127,110,130,114,103
summer,7,7|8|9,spatially_blocked,cart,4329,671,0.7257824143070045,0.7094900950070749,0.6117581947623959,50,320,97,204,0
summer,7,7|8|9,spatially_blocked,gtb,4329,671,0.8718330849478391,0.878459735698403,0.8122667811817831,50,320,97,204,0
summer,7,7|8|9,spatially_blocked,knn,4329,671,0.8688524590163934,0.8961111532241763,0.8092302721912608,50,320,97,204,0
summer,7,7|8|9,spatially_blocked,rf,4329,671,0.8748137108792846,0.8775995552860321,0.8157617755695746,50,320,97,204,0
summer,7,7|8|9,spatially_blocked,svm,4329,671,0.8673621460506706,0.8713734965635739,0.8053512992007927,50,320,97,204,0
